caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"20063880",2006,3880,36,1,14,1,7,2,0
"20063881",2006,3881,41,2,20,4,12,1,9
"20063882",2006,3882,47,2,12,1,0,1,0
"20063883",2006,3883,48,2,14,2,13,0,0
"20063884",2006,3884,63,2,11,1,0,1,1
"20063885",2006,3885,27,1,16,3,12,0,0
"20063886",2006,3886,54,2,15,1,11,1,0
"20063887",2006,3887,28,1,12,1,12,0,0
"20063888",2006,3888,65,1,12,1,12,0,0
"20063889",2006,3889,46,1,8,0,0,1,1
"20063890",2006,3890,44,2,4,0,0,1,0
"20063891",2006,3891,65,1,13,1,9,0,3
"20063892",2006,3892,59,2,11,0,12,1,0
"20063893",2006,3893,43,2,12,1,9,0,0
"20063894",2006,3894,49,1,11,1,0,0,0
"20063895",2006,3895,38,1,11,0,0,0,0
"20063896",2006,3896,55,1,16,3,12,0,0
"20063897",2006,3897,23,2,12,1,9,0,0
"20063898",2006,3898,52,1,11,0,1,0,0
"20063899",2006,3899,33,2,12,1,9,0,0
"20063900",2006,3900,33,1,11,1,99,1,0
"20063901",2006,3901,33,1,11,1,9,1,0
"20063902",2006,3902,66,2,12,1,0,1,0
"20063903",2006,3903,46,1,12,1,5,2,0
"20063904",2006,3904,34,2,11,1,11,2,0
"20063905",2006,3905,38,2,12,1,12,0,0
"20063906",2006,3906,39,1,12,1,8,0,0
"20063907",2006,3907,34,1,13,1,12,2,0
"20063908",2006,3908,62,2,12,1,2,1,0
"20063909",2006,3909,29,1,11,1,0,1,4
"20063910",2006,3910,89,2,13,2,0,0,0
"20063911",2006,3911,39,2,12,1,0,0,0
"20063912",2006,3912,20,2,13,1,0,0,0
"20063913",2006,3913,58,1,17,4,13,0,0
"20063914",2006,3914,48,2,14,2,11,1,0
"20063915",2006,3915,58,1,16,3,12,1,0
"20063916",2006,3916,61,1,12,1,12,0,2
"20063917",2006,3917,48,1,12,1,12,0,0
"20063918",2006,3918,74,2,19,4,0,0,1
"20063919",2006,3919,21,1,12,1,8,2,0
"20063920",2006,3920,40,1,13,1,10,0,0
"20063921",2006,3921,31,2,11,0,0,0,0
"20063922",2006,3922,36,1,20,4,0,1,0
"20063923",2006,3923,65,2,14,2,0,0,0
"20063924",2006,3924,66,2,13,1,98,1,1
"20063925",2006,3925,76,2,12,1,0,0,1
"20063926",2006,3926,54,1,12,1,12,0,0
"20063927",2006,3927,53,2,12,1,8,0,0
"20063928",2006,3928,81,2,14,2,0,1,0
"20063929",2006,3929,18,1,11,0,0,2,0
"20063930",2006,3930,45,2,12,1,12,1,2
"20063931",2006,3931,84,1,11,0,0,0,0
"20063932",2006,3932,73,1,9,0,0,0,1
"20063933",2006,3933,38,2,20,4,12,1,0
"20063934",2006,3934,26,2,12,1,10,1,0
"20063935",2006,3935,28,2,14,1,13,1,1
"20063936",2006,3936,80,2,0,0,0,1,0
"20063937",2006,3937,18,2,11,0,1,0,0
"20063938",2006,3938,43,2,12,1,0,1,0
"20063939",2006,3939,49,1,11,0,12,1,0
"20063940",2006,3940,43,1,12,1,11,0,0
"20063941",2006,3941,32,1,14,1,12,1,0
"20063942",2006,3942,57,2,12,1,11,1,1
"20063943",2006,3943,67,1,16,1,12,1,0
"20063944",2006,3944,22,1,13,1,1,0,1
"20063945",2006,3945,32,2,15,2,99,0,2
"20063946",2006,3946,30,2,14,2,12,1,1
"20063947",2006,3947,53,1,13,1,99,0,0
"20063948",2006,3948,62,2,12,1,0,1,1
"20063949",2006,3949,53,2,13,2,98,1,0
"20063950",2006,3950,25,1,13,2,11,1,0
"20063951",2006,3951,63,1,12,0,0,1,0
"20063952",2006,3952,74,2,10,0,0,0,8
"20063953",2006,3953,60,1,15,1,12,2,0
"20063954",2006,3954,62,1,15,2,11,0,0
"20063955",2006,3955,45,1,16,3,12,0,0
"20063956",2006,3956,40,1,14,3,13,1,2
"20063957",2006,3957,60,2,12,1,9,1,8
"20063958",2006,3958,70,2,12,1,0,1,1
"20063959",2006,3959,82,1,6,0,0,1,1
"20063960",2006,3960,73,2,3,0,0,1,0
"20063961",2006,3961,59,2,5,0,0,0,0
"20063962",2006,3962,57,1,13,0,9,0,0
"20063963",2006,3963,29,2,10,1,0,0,0
"20063964",2006,3964,62,2,8,0,0,0,0
"20063965",2006,3965,28,2,15,1,12,0,0
"20063966",2006,3966,26,2,10,0,4,0,0
"20063967",2006,3967,29,2,13,1,0,2,0
"20063968",2006,3968,40,2,11,0,0,1,1
"20063969",2006,3969,72,2,12,1,13,8,0
"20063970",2006,3970,55,1,10,0,0,1,5
"20063971",2006,3971,47,1,17,3,12,0,0
"20063972",2006,3972,45,2,12,1,11,1,2
"20063973",2006,3973,30,2,14,2,10,1,4
"20063974",2006,3974,78,1,3,0,0,0,5
"20063975",2006,3975,60,1,12,1,0,1,1
"20063976",2006,3976,43,1,12,1,12,1,2
"20063977",2006,3977,47,1,12,1,11,0,1
"20063978",2006,3978,83,2,8,0,0,0,1
"20063979",2006,3979,24,2,12,1,0,1,3
"20063980",2006,3980,26,1,12,1,9,2,1
"20063981",2006,3981,38,2,13,1,11,1,0
"20063982",2006,3982,69,1,5,0,0,0,4
"20063983",2006,3983,48,1,13,1,12,1,0
"20063984",2006,3984,44,2,12,1,0,0,0
"20063985",2006,3985,24,1,13,1,0,2,3
"20063986",2006,3986,26,2,14,1,11,2,1
"20063987",2006,3987,24,1,17,2,11,2,1
"20063988",2006,3988,78,2,12,1,0,0,0
"20063989",2006,3989,20,2,12,1,0,0,0
"20063990",2006,3990,26,2,99,1,4,0,0
"20063991",2006,3991,43,2,18,4,7,0,0
"20063992",2006,3992,26,2,12,1,4,0,0
"20063993",2006,3993,27,2,16,2,0,1,1
"20063994",2006,3994,25,2,13,2,1,0,0
"20063995",2006,3995,25,2,12,0,0,1,3
"20063996",2006,3996,25,2,14,1,0,1,0
"20063997",2006,3997,53,2,14,2,0,1,0
"20063998",2006,3998,41,2,8,0,5,0,0
"20063999",2006,3999,41,1,12,1,12,1,1
"20064000",2006,4000,22,2,12,1,0,0,0
"20064001",2006,4001,28,1,9,0,0,0,0
"20064002",2006,4002,42,1,12,1,12,1,0
"20064003",2006,4003,22,2,13,1,4,1,0
"20064004",2006,4004,34,2,16,3,12,0,0
"20064005",2006,4005,49,1,12,1,10,1,1
"20064006",2006,4006,25,1,17,3,9,1,0
"20064007",2006,4007,39,1,20,4,12,0,0
"20064008",2006,4008,43,2,14,2,10,1,0
"20064009",2006,4009,65,1,13,1,12,0,0
"20064010",2006,4010,99,2,15,1,12,0,0
"20064011",2006,4011,63,1,10,0,12,1,0
"20064012",2006,4012,52,1,12,1,12,0,0
"20064013",2006,4013,27,2,13,2,1,0,0
"20064014",2006,4014,35,2,13,2,9,0,0
"20064015",2006,4015,36,2,12,1,3,0,1
"20064016",2006,4016,42,2,13,2,10,0,0
"20064017",2006,4017,19,1,11,0,2,0,0
"20064018",2006,4018,82,2,11,1,0,0,0
"20064019",2006,4019,45,1,12,1,12,0,0
"20064020",2006,4020,32,1,9,0,5,0,0
"20064021",2006,4021,99,2,15,2,11,2,1
"20064022",2006,4022,29,2,9,0,0,0,2
"20064023",2006,4023,47,1,0,0,9,0,0
"20064024",2006,4024,89,2,11,1,0,0,0
"20064025",2006,4025,37,2,13,1,12,1,3
"20064026",2006,4026,39,2,11,1,10,0,1
"20064027",2006,4027,22,2,9,1,5,0,0
"20064028",2006,4028,72,2,12,1,0,0,0
"20064029",2006,4029,43,2,6,0,10,0,0
"20064030",2006,4030,38,1,0,0,10,0,0
"20064031",2006,4031,41,2,9,0,9,0,0
"20064032",2006,4032,26,1,13,1,12,0,0
"20064033",2006,4033,47,2,12,1,10,0,0
"20064034",2006,4034,28,2,8,0,4,1,0
"20064035",2006,4035,32,2,13,1,0,1,0
"20064036",2006,4036,59,1,12,1,12,1,0
"20064037",2006,4037,43,2,13,2,12,1,1
"20064038",2006,4038,65,1,9,0,0,0,3
"20064039",2006,4039,50,2,10,1,0,1,1
"20064040",2006,4040,52,1,13,1,12,0,0
"20064041",2006,4041,27,1,13,1,3,0,1
"20064042",2006,4042,69,1,7,0,0,0,0
"20064043",2006,4043,47,2,15,2,4,0,1
"20064044",2006,4044,50,2,12,1,0,1,2
"20064045",2006,4045,40,2,12,1,8,0,0
"20064046",2006,4046,82,2,8,0,0,0,3
"20064047",2006,4047,36,1,12,1,12,1,1
"20064048",2006,4048,37,2,12,1,11,0,0
"20064049",2006,4049,41,2,12,1,9,0,0
"20064050",2006,4050,78,2,13,1,0,1,2
"20064051",2006,4051,61,2,13,0,11,0,0
"20064052",2006,4052,22,2,12,1,98,1,8
"20064053",2006,4053,36,2,16,3,12,0,0
"20064054",2006,4054,40,2,18,3,9,1,0
"20064055",2006,4055,64,2,8,0,0,0,0
"20064056",2006,4056,22,2,14,1,8,0,1
"20064057",2006,4057,49,2,18,4,12,1,0
"20064058",2006,4058,79,2,13,1,0,0,0
"20064059",2006,4059,59,1,10,0,0,0,0
"20064060",2006,4060,77,2,10,0,0,0,0
"20064061",2006,4061,77,2,11,0,0,0,0
"20064062",2006,4062,28,1,6,0,11,1,0
"20064063",2006,4063,48,1,12,1,9,0,0
"20064064",2006,4064,58,2,13,1,9,1,0
"20064065",2006,4065,63,1,12,1,6,0,0
"20064066",2006,4066,32,2,12,1,0,1,0
"20064067",2006,4067,54,2,12,1,10,1,0
"20064068",2006,4068,74,2,12,1,0,2,0
"20064069",2006,4069,77,2,5,0,0,0,8
"20064070",2006,4070,50,1,13,1,0,0,0
"20064071",2006,4071,76,1,9,0,0,0,0
"20064072",2006,4072,47,2,14,1,10,0,0
"20064073",2006,4073,79,2,10,0,0,0,0
"20064074",2006,4074,66,2,8,0,0,0,0
"20064075",2006,4075,71,1,6,0,0,1,0
"20064076",2006,4076,31,2,14,1,2,0,0
"20064077",2006,4077,66,1,14,2,1,0,0
"20064078",2006,4078,33,1,12,1,12,0,0
"20064079",2006,4079,45,2,14,1,9,0,0
"20064080",2006,4080,51,2,11,0,0,0,1
"20064081",2006,4081,38,1,15,2,10,2,0
"20064082",2006,4082,56,1,13,1,0,0,0
"20064083",2006,4083,29,1,14,1,0,1,1
"20064084",2006,4084,54,1,13,1,10,0,0
"20064085",2006,4085,26,2,12,1,6,0,0
"20064086",2006,4086,42,1,12,1,12,1,0
"20064087",2006,4087,52,1,11,0,11,0,0
"20064088",2006,4088,22,2,15,1,7,2,5
"20064089",2006,4089,37,1,11,1,12,0,0
"20064090",2006,4090,52,2,14,2,10,1,0
"20064091",2006,4091,67,2,12,1,0,1,0
"20064092",2006,4092,23,2,14,2,10,0,0
"20064093",2006,4093,67,2,17,3,0,0,0
"20064094",2006,4094,56,1,12,1,12,0,1
"20064095",2006,4095,29,2,12,1,12,1,0
"20064096",2006,4096,67,2,12,1,0,0,0
"20064097",2006,4097,43,1,12,1,12,0,0
"20064098",2006,4098,42,2,12,1,12,0,0
"20064099",2006,4099,65,2,9,0,8,1,3
"20064100",2006,4100,20,1,12,1,8,2,3
"20064101",2006,4101,24,1,11,0,0,0,0
"20064102",2006,4102,50,2,18,4,12,0,3
"20064103",2006,4103,51,2,14,2,12,1,2
"20064104",2006,4104,72,2,11,0,0,0,0
"20064105",2006,4105,52,2,13,1,11,0,0
"20064106",2006,4106,73,2,12,1,0,1,3
"20064107",2006,4107,54,2,17,3,12,0,0
"20064108",2006,4108,23,2,14,2,1,1,0
"20064109",2006,4109,40,2,12,1,12,0,0
"20064110",2006,4110,43,2,19,4,12,1,0
"20064111",2006,4111,29,2,16,3,12,0,3
"20064112",2006,4112,37,1,13,1,11,0,0
"20064113",2006,4113,32,1,16,3,12,1,0
"20064114",2006,4114,20,1,12,1,10,1,0
"20064115",2006,4115,84,2,10,0,0,0,0
"20064116",2006,4116,31,2,13,1,0,0,3
"20064117",2006,4117,40,1,12,1,12,2,1
"20064118",2006,4118,50,1,14,1,12,0,4
"20064119",2006,4119,35,2,16,2,5,2,0
"20064120",2006,4120,59,2,12,1,11,1,1
"20064121",2006,4121,21,2,12,1,7,0,0
"20064122",2006,4122,67,1,10,0,12,2,1
"20064123",2006,4123,35,1,12,1,13,1,0
"20064124",2006,4124,33,1,12,0,98,0,0
"20064125",2006,4125,69,1,14,1,12,1,0
"20064126",2006,4126,36,2,12,1,0,8,2
"20064127",2006,4127,46,1,12,1,12,1,0
"20064128",2006,4128,35,2,11,0,2,0,0
"20064129",2006,4129,19,1,12,1,9,0,0
"20064130",2006,4130,41,2,16,3,11,1,0
"20064131",2006,4131,47,1,13,1,12,0,0
"20064132",2006,4132,64,1,10,0,0,0,0
"20064133",2006,4133,69,2,8,0,0,0,0
"20064134",2006,4134,36,2,15,1,2,0,0
"20064135",2006,4135,68,1,10,0,1,0,0
"20064136",2006,4136,64,2,8,0,0,0,1
"20064137",2006,4137,31,1,16,3,0,2,0
"20064138",2006,4138,43,2,14,1,12,2,2
"20064139",2006,4139,25,1,14,1,12,0,1
"20064140",2006,4140,63,2,12,1,0,1,0
"20064141",2006,4141,27,1,13,0,0,0,0
"20064142",2006,4142,34,1,10,1,9,0,0
"20064143",2006,4143,55,1,16,2,0,2,0
"20064144",2006,4144,30,2,12,1,12,1,0
"20064145",2006,4145,54,2,12,1,12,0,0
"20064146",2006,4146,21,1,13,1,0,0,0
"20064147",2006,4147,48,2,3,0,0,0,0
"20064148",2006,4148,45,1,13,1,12,1,1
"20064149",2006,4149,33,2,12,1,0,1,1
"20064150",2006,4150,63,2,12,1,0,0,0
"20064151",2006,4151,63,1,12,1,0,1,0
"20064152",2006,4152,53,1,16,3,12,2,4
"20064153",2006,4153,59,1,12,1,12,0,0
"20064154",2006,4154,84,1,8,0,0,0,0
"20064155",2006,4155,75,1,5,0,0,0,0
"20064156",2006,4156,22,2,10,0,1,1,0
"20064157",2006,4157,63,1,13,1,0,1,1
"20064158",2006,4158,54,1,17,4,12,0,3
"20064159",2006,4159,32,1,12,1,11,0,0
"20064160",2006,4160,59,2,16,3,12,1,0
"20064161",2006,4161,59,2,12,1,9,1,0
"20064162",2006,4162,48,1,12,1,12,0,0
"20064163",2006,4163,38,2,12,1,0,0,0
"20064164",2006,4164,63,2,11,0,12,0,0
"20064165",2006,4165,64,1,9,0,11,1,4
"20064166",2006,4166,40,1,6,0,98,0,0
"20064167",2006,4167,38,2,13,1,10,1,1
"20064168",2006,4168,53,2,12,1,9,0,0
"20064169",2006,4169,47,2,13,1,9,0,0
"20064170",2006,4170,22,2,11,0,9,0,0
"20064171",2006,4171,37,2,14,1,0,0,0
"20064172",2006,4172,51,1,14,2,12,0,0
"20064173",2006,4173,39,2,12,1,13,0,0
"20064174",2006,4174,38,1,13,1,0,1,2
"20064175",2006,4175,72,2,11,0,0,0,0
"20064176",2006,4176,51,1,13,1,12,0,0
"20064177",2006,4177,49,1,12,1,12,0,0
"20064178",2006,4178,55,2,10,0,7,0,0
"20064179",2006,4179,73,1,7,0,0,0,0
"20064180",2006,4180,59,2,16,3,12,0,0
"20064181",2006,4181,66,2,12,1,0,0,0
"20064182",2006,4182,39,1,16,3,6,2,0
"20064183",2006,4183,46,1,13,1,10,2,2
"20064184",2006,4184,31,1,16,3,12,0,0
"20064185",2006,4185,42,1,11,0,0,0,0
"20064186",2006,4186,43,2,4,0,4,0,0
"20064187",2006,4187,64,1,5,0,0,1,0
"20064188",2006,4188,49,2,8,0,10,0,1
"20064189",2006,4189,51,2,6,0,5,0,0
"20064190",2006,4190,23,2,16,2,5,1,0
"20064191",2006,4191,36,1,18,3,0,0,1
"20064192",2006,4192,46,1,13,1,12,0,0
"20064193",2006,4193,45,1,12,0,12,0,0
"20064194",2006,4194,44,2,6,0,8,1,0
"20064195",2006,4195,62,1,13,1,12,0,0
"20064196",2006,4196,47,2,5,0,0,0,0
"20064197",2006,4197,43,2,12,1,0,0,0
"20064198",2006,4198,63,1,3,0,12,0,0
"20064199",2006,4199,76,1,9,1,5,2,0
"20064200",2006,4200,59,1,12,1,12,1,1
"20064201",2006,4201,67,1,15,1,0,1,0
"20064202",2006,4202,39,2,17,3,12,0,0
"20064203",2006,4203,56,2,10,0,0,0,0
"20064204",2006,4204,46,1,19,4,12,0,0
"20064205",2006,4205,53,1,12,1,0,0,0
"20064206",2006,4206,56,1,14,1,0,1,0
"20064207",2006,4207,39,1,19,4,12,0,0
"20064208",2006,4208,55,1,0,0,12,0,0
"20064209",2006,4209,18,1,11,1,0,0,0
"20064210",2006,4210,46,1,16,3,12,0,0
"20064211",2006,4211,53,2,14,9,0,0,0
"20064212",2006,4212,46,1,10,0,12,0,0
"20064213",2006,4213,68,2,12,1,10,1,1
"20064214",2006,4214,36,2,10,1,5,0,0
"20064215",2006,4215,68,2,12,1,0,1,2
"20064216",2006,4216,36,1,12,1,11,2,0
"20064217",2006,4217,56,1,12,1,12,0,0
"20064218",2006,4218,31,2,13,1,12,2,0
"20064219",2006,4219,23,1,12,1,11,1,1
"20064220",2006,4220,69,1,9,0,4,1,0
"20064221",2006,4221,47,1,14,1,12,0,0
"20064222",2006,4222,53,2,13,1,0,0,0
"20064223",2006,4223,58,2,12,1,13,1,0
"20064224",2006,4224,48,1,12,1,99,2,2
"20064225",2006,4225,60,1,7,0,12,1,1
"20064226",2006,4226,24,2,15,2,12,0,2
"20064227",2006,4227,53,1,11,1,0,1,3
"20064228",2006,4228,81,2,8,0,0,0,0
"20064229",2006,4229,20,1,13,1,13,2,0
"20064230",2006,4230,71,2,12,1,0,1,1
"20064231",2006,4231,54,2,16,3,9,1,0
"20064232",2006,4232,48,2,14,1,11,0,0
"20064233",2006,4233,59,1,14,1,13,0,0
"20064234",2006,4234,55,2,16,3,12,0,1
"20064235",2006,4235,75,2,12,1,13,0,0
"20064236",2006,4236,20,2,11,0,0,0,0
"20064237",2006,4237,27,1,10,1,0,2,3
"20064238",2006,4238,37,2,12,1,0,1,0
"20064239",2006,4239,39,2,12,1,0,1,1
"20064240",2006,4240,41,1,14,2,11,2,4
"20064241",2006,4241,43,2,12,1,0,0,0
"20064242",2006,4242,44,2,12,1,13,0,0
"20064243",2006,4243,67,1,17,3,1,2,0
"20064244",2006,4244,40,1,19,4,11,0,3
"20064245",2006,4245,58,1,12,1,12,0,0
"20064246",2006,4246,40,1,10,1,12,2,0
"20064247",2006,4247,58,2,9,1,0,0,0
"20064248",2006,4248,71,2,16,3,0,2,2
"20064249",2006,4249,59,2,12,1,13,0,0
"20064250",2006,4250,47,1,16,3,0,0,0
"20064251",2006,4251,41,1,16,3,12,2,0
"20064252",2006,4252,84,1,10,0,0,1,0
"20064253",2006,4253,28,2,9,0,0,1,0
"20064254",2006,4254,50,1,13,1,12,0,0
"20064255",2006,4255,28,1,16,1,13,0,0
"20064256",2006,4256,73,1,9,0,0,1,0
"20064257",2006,4257,46,2,13,1,13,1,1
"20064258",2006,4258,38,2,17,1,0,0,2
"20064259",2006,4259,42,2,13,1,0,0,2
"20064260",2006,4260,45,2,14,2,12,0,0
"20064261",2006,4261,47,1,14,1,12,0,0
"20064262",2006,4262,28,2,12,1,9,1,0
"20064263",2006,4263,49,1,12,1,12,2,2
"20064264",2006,4264,30,2,12,1,0,1,0
"20064265",2006,4265,54,1,16,2,12,2,4
"20064266",2006,4266,76,1,7,0,0,0,0
"20064267",2006,4267,26,2,13,1,9,1,1
"20064268",2006,4268,80,1,11,0,0,1,4
"20064269",2006,4269,47,1,13,1,6,0,0
"20064270",2006,4270,45,1,14,1,11,1,1
"20064271",2006,4271,44,1,12,1,0,0,0
"20064272",2006,4272,19,1,12,1,0,0,0
"20064273",2006,4273,18,1,12,0,1,0,0
"20064274",2006,4274,42,2,14,1,12,1,0
"20064275",2006,4275,45,1,15,1,8,1,1
"20064276",2006,4276,60,1,17,3,12,0,0
"20064277",2006,4277,28,2,18,3,0,1,2
"20064278",2006,4278,44,2,19,4,2,0,1
"20064279",2006,4279,57,2,4,0,0,1,0
"20064280",2006,4280,33,1,14,2,0,0,0
"20064281",2006,4281,30,2,15,2,9,0,0
"20064282",2006,4282,30,1,15,4,0,0,0
"20064283",2006,4283,63,2,19,4,12,0,0
"20064284",2006,4284,21,2,15,1,5,0,1
"20064285",2006,4285,22,2,14,2,8,1,0
"20064286",2006,4286,27,1,14,1,5,0,0
"20064287",2006,4287,32,1,20,4,10,0,0
"20064288",2006,4288,53,1,12,1,12,0,0
"20064289",2006,4289,39,2,16,4,10,0,0
"20064290",2006,4290,29,2,17,3,0,0,0
"20064291",2006,4291,29,2,15,2,9,0,0
"20064292",2006,4292,73,2,14,1,0,0,1
"20064293",2006,4293,68,2,20,4,11,1,2
"20064294",2006,4294,60,1,13,1,0,2,0
"20064295",2006,4295,70,2,12,1,8,1,0
"20064296",2006,4296,35,1,15,1,9,1,0
"20064297",2006,4297,30,1,9,0,9,1,0
"20064298",2006,4298,40,2,16,3,0,0,1
"20064299",2006,4299,58,1,14,1,9,1,0
"20064300",2006,4300,43,2,16,3,12,0,0
"20064301",2006,4301,47,1,13,1,8,0,0
"20064302",2006,4302,54,2,13,1,12,0,0
"20064303",2006,4303,21,1,14,1,0,1,0
"20064304",2006,4304,59,1,18,4,12,1,3
"20064305",2006,4305,71,1,14,1,0,2,4
"20064306",2006,4306,38,1,15,2,12,0,1
"20064307",2006,4307,52,2,12,1,12,0,1
"20064308",2006,4308,61,2,10,0,0,0,0
"20064309",2006,4309,53,2,12,1,1,1,0
"20064310",2006,4310,58,2,12,1,6,2,1
"20064311",2006,4311,27,1,12,1,1,0,0
"20064312",2006,4312,42,1,11,1,0,0,0
"20064313",2006,4313,29,2,12,1,0,0,0
"20064314",2006,4314,55,1,16,3,12,2,5
"20064315",2006,4315,50,2,15,1,0,0,1
"20064316",2006,4316,75,2,12,1,0,2,0
"20064317",2006,4317,54,2,15,2,2,0,3
"20064318",2006,4318,64,2,12,1,8,0,0
"20064319",2006,4319,21,1,12,1,12,0,0
"20064320",2006,4320,80,2,12,1,0,1,0
"20064321",2006,4321,33,2,17,3,0,1,0
"20064322",2006,4322,35,1,12,1,12,0,0
"20064323",2006,4323,50,2,11,0,9,0,0
"20064324",2006,4324,28,2,12,1,0,0,0
"20064325",2006,4325,25,1,13,1,8,2,5
"20064326",2006,4326,65,2,13,0,0,0,0
"20064327",2006,4327,65,2,12,1,9,2,1
"20064328",2006,4328,54,1,11,0,12,0,0
"20064329",2006,4329,31,2,12,1,10,0,0
"20064330",2006,4330,66,2,13,2,11,1,0
"20064331",2006,4331,73,1,8,0,0,2,0
"20064332",2006,4332,43,2,12,1,12,0,0
"20064333",2006,4333,52,1,12,1,12,0,0
"20064334",2006,4334,51,1,10,1,0,1,0
"20064335",2006,4335,72,2,8,0,0,0,0
"20064336",2006,4336,31,1,16,1,11,1,0
"20064337",2006,4337,70,2,13,1,0,1,0
"20064338",2006,4338,79,1,19,4,0,0,0
"20064339",2006,4339,46,2,20,4,12,0,0
"20064340",2006,4340,78,1,18,3,0,1,1
"20064341",2006,4341,25,2,8,0,2,1,1
"20064342",2006,4342,45,1,12,1,12,0,0
"20064343",2006,4343,59,2,13,1,9,1,1
"20064344",2006,4344,72,2,12,1,0,0,2
"20064345",2006,4345,36,2,7,0,10,0,0
"20064346",2006,4346,54,1,12,1,12,1,0
"20064347",2006,4347,59,1,16,3,12,2,0
"20064348",2006,4348,70,2,12,1,0,2,3
"20064349",2006,4349,35,1,12,1,10,2,4
"20064350",2006,4350,50,2,18,4,12,0,0
"20064351",2006,4351,37,1,11,0,12,1,0
"20064352",2006,4352,36,2,13,2,12,2,0
"20064353",2006,4353,47,2,16,3,12,1,1
"20064354",2006,4354,50,2,16,3,10,1,2
"20064355",2006,4355,22,2,10,1,10,1,0
"20064356",2006,4356,53,1,13,1,12,2,0
"20064357",2006,4357,38,1,19,4,13,0,0
"20064358",2006,4358,34,1,2,0,12,0,0
"20064359",2006,4359,68,1,12,1,0,1,1
"20064360",2006,4360,45,2,12,1,10,0,1
"20064361",2006,4361,54,1,12,1,8,0,0
"20064362",2006,4362,31,1,14,1,12,2,0
"20064363",2006,4363,49,1,12,1,12,1,0
"20064364",2006,4364,54,1,13,1,0,1,9
"20064365",2006,4365,78,2,9,0,0,0,0
"20064366",2006,4366,70,1,12,1,0,0,0
"20064367",2006,4367,36,2,6,0,0,1,0
"20064368",2006,4368,41,2,12,1,0,1,2
"20064369",2006,4369,20,2,12,1,0,0,1
"20064370",2006,4370,37,2,15,2,2,1,1
"20064371",2006,4371,56,2,12,1,0,0,0
"20064372",2006,4372,57,2,19,1,1,1,1
"20064373",2006,4373,66,2,13,1,0,1,1
"20064374",2006,4374,36,1,12,1,12,2,5
"20064375",2006,4375,40,2,12,1,0,1,1
"20064376",2006,4376,35,2,12,1,98,1,0
"20064377",2006,4377,55,1,15,0,9,2,8
"20064378",2006,4378,81,2,12,1,0,1,3
"20064379",2006,4379,55,2,14,1,12,0,0
"20064380",2006,4380,54,1,12,1,0,2,5
"20064381",2006,4381,99,1,99,0,99,0,0
"20064382",2006,4382,46,2,12,1,5,1,1
"20064383",2006,4383,56,1,2,0,12,0,0
"20064384",2006,4384,53,2,12,1,10,1,0
"20064385",2006,4385,60,2,13,1,11,0,0
"20064386",2006,4386,73,2,18,3,0,0,0
"20064387",2006,4387,48,2,13,1,12,0,0
"20064388",2006,4388,38,1,2,0,12,0,0
"20064389",2006,4389,22,2,12,1,9,0,0
"20064390",2006,4390,32,1,16,3,12,0,1
"20064391",2006,4391,64,2,6,0,0,1,1
"20064392",2006,4392,21,2,14,1,0,0,0
"20064393",2006,4393,64,2,12,1,0,0,0
"20064394",2006,4394,33,2,8,0,4,1,0
"20064395",2006,4395,84,2,17,3,0,0,0
"20064396",2006,4396,47,2,14,2,12,0,0
"20064397",2006,4397,72,2,8,0,0,0,0
"20064398",2006,4398,41,2,14,1,0,0,0
"20064399",2006,4399,48,2,18,4,0,1,1
"20064400",2006,4400,69,1,19,4,9,1,0
"20064401",2006,4401,27,1,12,1,12,2,0
"20064402",2006,4402,36,1,12,0,0,0,0
"20064403",2006,4403,34,1,14,1,12,0,0
"20064404",2006,4404,64,2,15,1,98,1,3
"20064405",2006,4405,64,1,12,1,13,0,0
"20064406",2006,4406,27,2,14,2,11,0,0
"20064407",2006,4407,46,2,14,1,12,0,0
"20064408",2006,4408,43,2,12,1,0,1,1
"20064409",2006,4409,62,1,12,1,12,0,0
"20064410",2006,4410,63,2,17,3,0,0,1
"20064411",2006,4411,47,2,15,1,0,1,2
"20064412",2006,4412,44,2,13,1,12,0,0
"20064413",2006,4413,87,1,15,1,13,0,0
"20064414",2006,4414,39,2,16,3,12,1,1
"20064415",2006,4415,44,1,12,1,12,1,1
"20064416",2006,4416,64,2,11,0,9,0,0
"20064417",2006,4417,45,2,17,4,0,1,0
"20064418",2006,4418,51,2,16,3,12,1,0
"20064419",2006,4419,45,2,16,4,0,0,0
"20064420",2006,4420,73,2,9,0,0,0,0
"20064421",2006,4421,35,2,8,0,98,1,0
"20064422",2006,4422,36,2,14,1,11,0,0
"20064423",2006,4423,80,1,10,0,0,0,1
"20064424",2006,4424,42,1,12,1,12,0,0
"20064425",2006,4425,71,1,16,3,12,0,1
"20064426",2006,4426,40,2,12,1,10,2,4
"20064427",2006,4427,42,2,14,1,0,0,0
"20064428",2006,4428,35,1,11,0,9,0,0
"20064429",2006,4429,87,2,16,3,0,1,0
"20064430",2006,4430,34,1,18,4,0,0,1
"20064431",2006,4431,70,1,13,1,12,0,0
"20064432",2006,4432,47,1,13,1,12,0,0
"20064433",2006,4433,47,2,6,0,9,0,0
"20064434",2006,4434,47,2,18,4,12,0,0
"20064435",2006,4435,59,2,12,1,0,0,0
"20064436",2006,4436,74,1,12,1,0,1,0
"20064437",2006,4437,29,1,20,3,0,0,0
