caseid,year,id,age,sex,educ,degree,rincome,gunlaw,gunsales
"20063479",2006,3479,73,1,12,1,0,0,0
"20063480",2006,3480,55,2,16,3,11,1,0
"20063481",2006,3481,22,2,13,1,0,1,0
"20063482",2006,3482,42,2,4,0,98,2,0
"20063483",2006,3483,61,2,12,1,9,1,0
"20063484",2006,3484,56,2,12,1,12,0,0
"20063485",2006,3485,24,2,14,2,2,2,1
"20063486",2006,3486,29,2,12,1,10,1,0
"20063487",2006,3487,30,1,16,3,12,0,0
"20063488",2006,3488,33,1,1,0,98,0,0
"20063489",2006,3489,30,2,13,1,13,1,2
"20063490",2006,3490,40,2,14,1,12,0,0
"20063491",2006,3491,46,1,11,0,0,1,1
"20063492",2006,3492,38,2,14,1,12,0,0
"20063493",2006,3493,50,2,13,1,13,0,0
"20063494",2006,3494,63,2,5,0,0,0,1
"20063495",2006,3495,21,2,12,1,7,2,0
"20063496",2006,3496,53,2,12,1,0,2,0
"20063497",2006,3497,26,1,11,0,12,1,0
"20063498",2006,3498,44,2,14,1,10,0,0
"20063499",2006,3499,26,1,14,2,12,0,0
"20063500",2006,3500,30,2,10,0,10,0,0
"20063501",2006,3501,54,2,10,0,9,1,0
"20063502",2006,3502,68,2,9,0,0,1,1
"20063503",2006,3503,25,1,16,3,10,0,0
"20063504",2006,3504,22,2,12,1,1,0,0
"20063505",2006,3505,47,2,14,2,12,1,0
"20063506",2006,3506,49,2,7,0,0,0,0
"20063507",2006,3507,60,1,12,1,0,1,0
"20063508",2006,3508,25,2,14,1,10,0,0
"20063509",2006,3509,34,2,14,2,12,1,1
"20063510",2006,3510,62,1,11,0,0,1,0
"20063511",2006,3511,59,2,12,1,0,0,0
"20063512",2006,3512,34,1,12,1,12,0,0
"20063513",2006,3513,54,2,12,1,12,0,0
"20063514",2006,3514,30,2,14,1,0,0,0
"20063515",2006,3515,25,2,16,1,9,0,0
"20063516",2006,3516,48,2,16,1,0,0,0
"20063517",2006,3517,49,2,12,0,0,0,1
"20063518",2006,3518,41,2,16,3,99,1,0
"20063519",2006,3519,41,2,12,1,12,0,0
"20063520",2006,3520,51,2,8,0,11,0,0
"20063521",2006,3521,49,2,12,1,0,0,0
"20063522",2006,3522,45,1,12,1,12,0,0
"20063523",2006,3523,39,2,12,1,7,2,0
"20063524",2006,3524,36,2,12,1,4,0,0
"20063525",2006,3525,38,1,15,1,0,1,0
"20063526",2006,3526,61,1,12,1,12,0,5
"20063527",2006,3527,32,1,12,1,10,1,0
"20063528",2006,3528,28,1,12,1,6,0,0
"20063529",2006,3529,75,1,10,0,0,0,0
"20063530",2006,3530,28,2,9,0,0,1,0
"20063531",2006,3531,41,1,14,1,11,1,1
"20063532",2006,3532,53,1,3,0,0,0,0
"20063533",2006,3533,60,1,12,1,10,0,0
"20063534",2006,3534,58,2,12,1,0,1,1
"20063535",2006,3535,45,1,99,9,99,0,0
"20063536",2006,3536,36,2,12,1,0,0,0
"20063537",2006,3537,56,1,14,1,0,2,0
"20063538",2006,3538,20,2,12,1,9,1,0
"20063539",2006,3539,42,2,12,1,10,0,0
"20063540",2006,3540,83,2,12,1,0,8,0
"20063541",2006,3541,66,2,10,0,0,1,0
"20063542",2006,3542,85,1,12,1,0,0,0
"20063543",2006,3543,41,1,12,1,0,2,0
"20063544",2006,3544,67,1,8,0,0,0,1
"20063545",2006,3545,69,1,10,0,0,0,0
"20063546",2006,3546,86,2,8,0,0,1,0
"20063547",2006,3547,54,2,14,1,12,2,4
"20063548",2006,3548,71,1,98,0,12,1,0
"20063549",2006,3549,56,2,12,1,0,1,2
"20063550",2006,3550,47,2,14,2,9,1,1
"20063551",2006,3551,87,1,8,0,0,2,4
"20063552",2006,3552,24,1,14,1,7,0,0
"20063553",2006,3553,48,2,13,1,9,0,0
"20063554",2006,3554,28,2,18,3,12,0,0
"20063555",2006,3555,66,1,12,1,99,2,0
"20063556",2006,3556,35,1,12,1,12,0,0
"20063557",2006,3557,26,2,12,1,0,0,2
"20063558",2006,3558,56,2,13,1,12,0,0
"20063559",2006,3559,41,2,12,1,10,0,0
"20063560",2006,3560,45,2,13,1,10,0,3
"20063561",2006,3561,51,2,12,1,5,0,0
"20063562",2006,3562,64,1,11,1,0,0,4
"20063563",2006,3563,24,2,12,1,0,0,0
"20063564",2006,3564,38,2,12,1,7,1,0
"20063565",2006,3565,66,2,9,0,0,2,0
"20063566",2006,3566,69,2,12,1,0,0,1
"20063567",2006,3567,27,2,9,0,0,1,0
"20063568",2006,3568,45,1,11,0,12,0,0
"20063569",2006,3569,54,1,18,2,12,1,1
"20063570",2006,3570,70,1,8,0,0,2,1
"20063571",2006,3571,42,1,12,1,12,0,0
"20063572",2006,3572,80,2,8,0,0,0,0
"20063573",2006,3573,62,1,8,0,9,2,0
"20063574",2006,3574,46,1,12,0,12,2,5
"20063575",2006,3575,46,1,12,1,12,0,0
"20063576",2006,3576,32,1,8,0,2,0,0
"20063577",2006,3577,38,1,12,1,0,0,0
"20063578",2006,3578,26,1,11,0,7,1,3
"20063579",2006,3579,33,2,13,1,5,0,0
"20063580",2006,3580,67,2,12,1,0,0,0
"20063581",2006,3581,34,1,9,0,0,0,0
"20063582",2006,3582,29,1,12,1,12,0,0
"20063583",2006,3583,45,1,12,1,13,2,4
"20063584",2006,3584,33,2,12,1,13,0,0
"20063585",2006,3585,47,2,9,0,0,0,0
"20063586",2006,3586,33,2,11,0,0,0,0
"20063587",2006,3587,30,1,12,1,0,1,0
"20063588",2006,3588,35,2,13,1,6,0,0
"20063589",2006,3589,43,1,12,1,11,2,0
"20063590",2006,3590,64,1,12,1,13,0,0
"20063591",2006,3591,62,2,12,1,0,0,0
"20063592",2006,3592,49,1,12,1,13,2,5
"20063593",2006,3593,53,1,14,1,12,0,0
"20063594",2006,3594,60,1,14,1,12,2,0
"20063595",2006,3595,41,1,13,1,12,0,0
"20063596",2006,3596,41,1,12,1,9,0,0
"20063597",2006,3597,39,1,12,1,11,0,0
"20063598",2006,3598,48,1,12,1,12,1,0
"20063599",2006,3599,23,1,12,1,12,0,0
"20063600",2006,3600,66,2,9,0,0,1,0
"20063601",2006,3601,25,2,11,0,0,1,0
"20063602",2006,3602,40,1,12,1,12,0,0
"20063603",2006,3603,35,2,9,0,13,0,0
"20063604",2006,3604,19,1,12,1,1,0,0
"20063605",2006,3605,19,2,12,1,2,0,0
"20063606",2006,3606,54,1,12,1,12,0,2
"20063607",2006,3607,55,2,12,1,12,1,0
"20063608",2006,3608,27,2,11,0,5,0,1
"20063609",2006,3609,39,2,12,1,9,0,0
"20063610",2006,3610,22,2,15,1,7,2,0
"20063611",2006,3611,22,2,15,1,7,1,2
"20063612",2006,3612,42,2,9,0,9,0,2
"20063613",2006,3613,70,2,12,1,0,1,2
"20063614",2006,3614,32,1,9,0,0,0,4
"20063615",2006,3615,40,1,11,0,10,0,0
"20063616",2006,3616,29,2,12,1,5,1,0
"20063617",2006,3617,35,2,12,1,11,0,1
"20063618",2006,3618,46,2,12,1,12,0,0
"20063619",2006,3619,45,2,14,1,12,0,0
"20063620",2006,3620,33,2,13,1,12,2,0
"20063621",2006,3621,35,1,9,0,11,0,1
"20063622",2006,3622,33,2,13,1,0,0,0
"20063623",2006,3623,36,2,12,1,0,0,2
"20063624",2006,3624,81,2,8,0,0,1,0
"20063625",2006,3625,33,1,12,1,12,1,0
"20063626",2006,3626,76,2,12,1,0,0,0
"20063627",2006,3627,65,1,14,1,12,2,0
"20063628",2006,3628,43,2,17,3,12,1,0
"20063629",2006,3629,60,2,18,4,11,2,0
"20063630",2006,3630,44,1,16,2,12,0,2
"20063631",2006,3631,30,2,14,1,11,0,1
"20063632",2006,3632,36,1,12,1,12,0,0
"20063633",2006,3633,55,1,13,1,12,2,0
"20063634",2006,3634,72,1,12,1,0,0,0
"20063635",2006,3635,40,2,17,3,0,8,0
"20063636",2006,3636,44,2,12,1,2,0,0
"20063637",2006,3637,44,1,14,2,12,2,5
"20063638",2006,3638,19,1,11,0,1,0,0
"20063639",2006,3639,45,1,12,1,13,8,2
"20063640",2006,3640,41,1,12,1,11,0,0
"20063641",2006,3641,52,1,12,1,11,0,0
"20063642",2006,3642,35,2,13,1,13,0,0
"20063643",2006,3643,59,2,16,3,12,1,1
"20063644",2006,3644,65,2,12,1,0,0,0
"20063645",2006,3645,39,1,12,1,12,0,0
"20063646",2006,3646,86,2,12,1,0,0,1
"20063647",2006,3647,37,1,12,1,12,2,9
"20063648",2006,3648,88,2,13,1,1,1,0
"20063649",2006,3649,80,2,16,1,0,0,0
"20063650",2006,3650,67,1,20,4,12,0,0
"20063651",2006,3651,65,1,12,1,9,0,0
"20063652",2006,3652,89,2,16,3,0,1,0
"20063653",2006,3653,24,1,12,1,12,0,0
"20063654",2006,3654,25,1,18,4,12,0,4
"20063655",2006,3655,32,2,13,1,11,2,8
"20063656",2006,3656,52,2,12,1,11,0,0
"20063657",2006,3657,71,2,13,0,0,2,3
"20063658",2006,3658,41,2,13,1,12,0,0
"20063659",2006,3659,30,2,11,0,0,0,0
"20063660",2006,3660,31,2,17,3,13,0,0
"20063661",2006,3661,34,2,14,1,13,0,4
"20063662",2006,3662,63,1,6,0,0,0,0
"20063663",2006,3663,41,2,16,3,8,1,0
"20063664",2006,3664,42,1,12,1,98,1,1
"20063665",2006,3665,70,1,12,1,5,1,1
"20063666",2006,3666,46,1,12,1,0,1,1
"20063667",2006,3667,64,2,9,0,0,1,0
"20063668",2006,3668,49,2,12,1,13,0,3
"20063669",2006,3669,59,2,14,1,0,1,1
"20063670",2006,3670,26,2,12,1,13,0,1
"20063671",2006,3671,26,2,14,1,0,0,3
"20063672",2006,3672,65,2,8,0,0,0,0
"20063673",2006,3673,25,2,13,1,0,0,0
"20063674",2006,3674,51,2,14,1,13,0,0
"20063675",2006,3675,34,2,15,1,0,1,0
"20063676",2006,3676,50,2,8,0,0,0,0
"20063677",2006,3677,33,2,12,1,13,0,0
"20063678",2006,3678,44,2,9,0,13,0,0
"20063679",2006,3679,75,2,6,0,0,0,0
"20063680",2006,3680,53,1,15,1,12,0,0
"20063681",2006,3681,50,1,16,3,99,0,0
"20063682",2006,3682,65,2,12,1,0,1,2
"20063683",2006,3683,61,2,11,0,99,0,0
"20063684",2006,3684,67,2,11,0,0,2,0
"20063685",2006,3685,43,2,12,1,12,1,1
"20063686",2006,3686,20,2,9,0,0,1,1
