CASEID,ABANY,ABFIRM,ABIMP,ABINFO
"1982 976",2,1,4,3
"1982 977",1,4,2,2
"1982 978",1,4,4,4
"1982 979",2,2,2,3
"1982 980",2,4,2,3
"1982 981",2,4,4,3
"1982 982",1,3,2,3
"1982 983",2,4,2,4
"1982 984",2,2,3,3
"1982 985",2,4,2,1
"1982 986",2,4,2,2
"1982 987",2,4,2,2
"1982 988",2,4,2,1
"1982 989",1,4,2,2
"1982 990",2,4,4,4
"1982 991",2,2,3,4
"1982 992",2,4,2,3
"1982 993",2,4,2,3
"1982 994",1,4,3,3
"1982 995",1,3,3,3
"1982 996",1,2,1,3
"1982 997",2,4,2,3
"1982 998",2,3,2,1
"1982 999",2,2,2,2
"19821000",2,4,2,1
"19821001",2,4,4,1
"19821002",2,4,4,3
"19821003",2,2,3,3
"19821004",2,4,2,2
"19821005",1,4,2,1
"19821006",2,2,2,1
"19821007",1,3,2,1
"19821008",1,4,2,2
"19821009",2,3,3,2
"19821010",2,4,3,3
"19821011",1,2,3,3
"19821012",1,3,3,4
"19821013",1,1,3,4
"19821014",2,4,1,1
"19821015",1,4,1,1
"19821016",1,4,3,1
"19821017",1,4,3,1
"19821018",2,4,3,3
"19821019",2,4,2,1
"19821020",2,4,2,1
"19821021",1,2,1,3
"19821022",2,4,3,2
"19821023",1,4,3,1
"19821024",1,3,2,2
"19821025",1,4,2,2
"19821026",1,4,2,1
"19821027",2,3,3,2
"19821028",2,3,2,3
"19821029",2,3,2,3
"19821030",2,3,2,3
"19821031",1,4,1,4
"19821032",2,4,3,1
"19821033",2,2,1,3
"19821034",1,3,2,2
"19821035",1,1,2,4
"19821036",1,4,1,2
"19821037",1,2,2,4
"19821038",1,4,2,1
"19821039",1,4,1,1
"19821040",1,4,2,3
"19821041",2,4,4,1
"19821042",1,3,2,1
"19821043",1,4,1,2
"19821044",2,3,2,4
"19821045",2,4,4,3
"19821046",1,2,2,4
"19821047",2,3,2,2
"19821048",2,4,1,1
"19821049",1,2,2,4
"19821050",2,3,2,2
"19821051",2,4,3,1
"19821052",1,2,3,4
"19821053",2,3,1,2
"19821054",2,2,2,4
"19821055",1,4,2,4
"19821056",2,3,4,4
"19821057",1,4,4,2
"19821058",1,2,3,3
"19821059",1,4,2,1
"19821060",1,4,2,3
"19821061",1,4,2,4
"19821062",2,4,1,3
"19821063",1,8,4,4
"19821064",1,3,4,3
"19821065",2,2,2,3
"19821066",2,3,3,4
"19821067",2,4,3,4
"19821068",2,4,1,3
"19821069",2,2,2,4
"19821070",2,4,4,2
"19821071",2,4,2,2
"19821072",2,2,2,2
"19821073",1,4,1,1
"19821074",1,4,3,2
"19821075",2,2,2,2
"19821076",1,4,1,1
"19821077",1,3,2,4
"19821078",2,4,4,1
"19821079",2,2,3,3
"19821080",2,4,4,4
"19821081",1,4,1,1
"19821082",2,1,4,2
"19821083",2,4,3,3
"19821084",2,4,2,3
"19821085",1,2,3,1
"19821086",2,2,2,4
"19821087",1,4,3,3
"19821088",2,4,2,3
"19821089",1,3,2,4
"19821090",1,4,2,2
"19821091",1,4,3,4
"19821092",2,4,1,1
"19821093",2,4,1,8
"19821094",2,3,3,4
"19821095",2,4,2,2
"19821096",2,3,2,3
"19821097",2,4,1,1
"19821098",2,4,3,1
"19821099",2,3,3,1
"19821100",2,4,2,4
"19821101",2,4,2,2
"19821102",1,2,3,3
"19821103",1,4,1,1
"19821104",1,4,2,2
"19821105",1,4,2,1
"19821106",1,4,2,1
"19821107",1,3,3,4
"19821108",2,3,2,2
"19821109",2,2,2,3
"19821110",1,2,2,3
"19821111",1,2,3,3
"19821112",1,4,2,1
"19821113",2,4,4,4
"19821114",1,4,4,1
"19821115",8,2,3,1
"19821116",2,3,3,3
"19821117",8,3,3,1
"19821118",2,4,3,3
"19821119",2,2,2,3
"19821120",2,4,1,1
"19821121",2,4,1,2
"19821122",1,4,1,1
"19821123",1,3,3,3
"19821124",2,4,4,1
"19821125",2,4,2,4
"19821126",1,4,3,1
"19821127",2,1,3,2
"19821128",2,4,2,2
"19821129",1,4,3,1
"19821130",1,4,1,1
"19821131",2,4,2,4
"19821132",1,3,3,1
"19821133",8,8,4,4
"19821134",1,4,2,1
"19821135",1,4,3,2
"19821136",1,4,3,1
"19821137",2,4,3,1
"19821138",2,4,4,4
"19821139",2,3,3,1
"19821140",2,4,2,2
"19821141",8,8,4,4
"19821142",2,4,2,4
"19821143",1,4,2,1
"19821144",8,4,4,3
"19821145",2,4,1,2
"19821146",2,2,2,3
"19821147",1,2,3,4
"19821148",1,3,2,3
"19821149",2,4,1,3
"19821150",2,4,1,2
"19821151",2,2,2,3
"19821152",1,2,3,3
"19821153",1,4,1,1
"19821154",2,4,3,3
"19821155",1,2,3,1
"19821156",2,4,2,1
"19821157",2,4,3,1
"19821158",2,2,3,3
"19821159",1,3,2,2
"19821160",8,4,4,3
"19821161",1,3,2,1
"19821162",2,2,3,4
"19821163",2,4,2,1
"19821164",8,3,2,2
"19821165",1,4,3,2
"19821166",1,4,3,2
"19821167",1,4,3,2
"19821168",1,4,4,3
"19821169",2,4,3,4
"19821170",1,3,3,3
"19821171",2,9,8,4
"19821172",2,4,1,1
"19821173",2,4,4,4
"19821174",1,3,3,1
"19821175",1,4,2,4
"19821176",2,3,4,3
"19821177",1,3,1,2
"19821178",1,3,3,2
"19821179",1,4,1,1
"19821180",1,4,2,1
"19821181",1,2,3,4
"19821182",1,4,2,2
"19821183",1,2,4,3
"19821184",1,3,3,3
"19821185",1,4,1,1
"19821186",1,4,2,1
"19821187",2,4,2,2
"19821188",1,4,2,1
"19821189",8,4,2,4
"19821190",1,4,2,1
"19821191",1,4,1,1
"19821192",1,2,3,1
"19821193",2,4,2,1
"19821194",1,4,2,4
"19821195",2,4,2,1
"19821196",1,4,3,2
"19821197",1,3,3,2
"19821198",1,4,1,3
"19821199",1,3,3,4
"19821200",1,3,3,1
"19821201",1,4,2,1
"19821202",1,4,2,2
"19821203",2,8,4,1
"19821204",1,3,2,3
"19821205",1,3,3,3
"19821206",2,4,2,4
"19821207",8,4,2,4
"19821208",1,4,1,2
"19821209",2,4,4,3
"19821210",1,4,4,3
"19821211",2,3,2,3
"19821212",2,4,2,2
"19821213",1,4,2,2
"19821214",2,4,2,1
"19821215",1,4,3,3
"19821216",2,4,3,2
"19821217",2,4,8,4
"19821218",2,4,2,1
"19821219",2,2,2,3
"19821220",8,8,3,3
"19821221",1,3,3,4
"19821222",1,4,3,1
"19821223",2,4,1,2
"19821224",2,1,4,1
"19821225",2,4,3,2
"19821226",1,4,3,3
"19821227",2,1,2,1
"19821228",1,4,3,1
"19821229",1,4,4,4
"19821230",1,4,2,2
"19821231",2,4,3,2
"19821232",2,4,2,1
"19821233",2,3,3,3
"19821234",2,4,2,2
"19821235",1,4,2,2
"19821236",1,4,1,1
"19821237",1,4,2,3
"19821238",1,4,2,1
"19821239",1,4,3,1
"19821240",1,3,3,2
"19821241",2,4,2,3
"19821242",1,3,3,3
"19821243",1,4,2,1
"19821244",1,4,3,2
"19821245",1,4,1,2
"19821246",1,4,2,1
"19821247",1,3,2,3
"19821248",1,4,2,3
"19821249",2,4,1,3
"19821250",2,3,3,1
"19821251",2,3,2,3
"19821252",1,4,2,2
"19821253",1,4,1,1
"19821254",2,3,3,3
"19821255",1,4,1,2
"19821256",1,4,2,3
"19821257",1,4,2,3
"19821258",2,2,3,3
"19821259",1,8,4,4
"19821260",2,4,3,4
"19821261",1,4,2,1
"19821262",1,4,3,1
"19821263",1,4,2,3
"19821264",8,8,4,4
"19821265",1,4,2,1
"19821266",2,3,2,3
"19821267",1,4,2,1
"19821268",1,4,3,3
"19821269",2,4,2,2
"19821270",1,4,2,3
"19821271",1,4,4,4
"19821272",2,2,4,4
"19821273",2,3,2,2
"19821274",1,4,2,1
"19821275",2,3,4,4
"19821276",1,4,4,4
"19821277",2,4,2,4
"19821278",1,3,3,3
"19821279",1,4,2,1
"19821280",2,4,2,3
"19821281",2,8,8,4
"19821282",9,8,2,4
"19821283",2,4,4,3
"19821284",1,4,3,2
"19821285",2,4,2,1
"19821286",1,2,3,3
"19821287",2,4,1,2
"19821288",2,3,3,4
"19821289",2,3,2,2
"19821290",2,4,4,4
"19821291",2,4,3,3
"19821292",2,4,1,3
"19821293",2,4,4,4
"19821294",2,4,2,3
"19821295",2,3,2,3
"19821296",2,1,3,4
"19821297",2,3,4,4
"19821298",2,4,2,2
"19821299",2,2,2,2
"19821300",2,4,1,1
"19821301",1,4,3,2
"19821302",2,3,2,2
"19821303",1,3,3,3
"19821304",2,3,3,3
"19821305",2,3,4,4
"19821306",2,4,1,3
"19821307",1,2,2,2
"19821308",2,4,2,2
"19821309",8,8,8,4
"19821310",2,4,1,2
"19821311",2,4,2,2
"19821312",2,2,3,4
"19821313",1,3,3,1
"19821314",2,2,2,3
"19821315",2,3,2,3
"19821316",2,4,2,4
"19821317",8,2,3,2
"19821318",2,4,3,4
"19821319",1,4,4,1
"19821320",8,2,2,4
"19821321",2,3,3,3
"19821322",8,8,2,3
"19821323",2,4,2,4
"19821324",1,4,2,3
"19821325",2,4,1,3
"19821326",2,4,2,3
"19821327",1,4,2,2
"19821328",2,4,3,4
"19821329",2,4,2,1
"19821330",2,3,3,4
"19821331",2,4,4,4
"19821332",1,1,2,3
"19821333",2,4,3,4
"19821334",2,4,1,4
"19821335",2,4,2,3
"19821336",2,3,3,3
"19821337",2,2,3,4
"19821338",2,3,3,3
"19821339",9,3,4,4
"19821340",1,2,2,2
"19821341",2,3,3,4
"19821342",1,3,2,3
"19821343",2,4,2,4
"19821344",2,4,2,4
"19821345",1,1,2,1
"19821346",2,2,1,2
"19821347",2,4,1,1
"19821348",2,2,3,3
"19821349",2,4,1,1
"19821350",2,4,1,2
"19821351",2,4,1,3
"19821352",1,4,4,2
"19821353",2,4,1,3
"19821354",2,4,2,3
"19821355",1,3,3,2
"19821356",2,4,4,4
"19821357",2,3,4,2
"19821358",1,4,4,2
"19821359",2,3,3,4
"19821360",8,8,8,8
"19821361",8,3,3,3
"19821362",2,4,2,3
"19821363",2,4,3,1
"19821364",2,4,1,1
"19821365",2,4,1,2
"19821366",2,2,2,3
"19821367",1,2,3,4
"19821368",2,2,3,3
"19821369",2,3,8,4
"19821370",2,3,2,3
"19821371",2,4,2,4
"19821372",8,8,8,4
"19821373",8,4,2,2
"19821374",2,4,2,4
"19821375",2,4,4,3
"19821376",2,1,3,2
"19821377",2,4,3,1
"19821378",2,3,2,3
"19821379",2,4,3,1
"19821380",9,3,3,4
"19821381",2,4,2,4
"19821382",2,4,2,2
"19821383",2,4,2,1
"19821384",1,4,2,3
"19821385",2,4,2,2
"19821386",2,4,1,1
"19821387",1,4,2,4
"19821388",1,2,2,3
"19821389",1,3,2,3
"19821390",2,2,2,4
"19821391",1,4,2,3
"19821392",1,4,2,2
"19821393",1,4,3,3
"19821394",2,4,4,4
"19821395",2,4,1,1
"19821396",2,4,2,1
"19821397",2,4,3,1
"19821398",2,8,8,4
"19821399",2,3,3,3
"19821400",1,2,2,3
"19821401",1,4,2,2
"19821402",8,3,3,1
"19821403",2,3,3,2
"19821404",2,4,4,1
"19821405",2,1,3,3
"19821406",2,4,2,1
"19821407",2,4,2,2
"19821408",1,3,3,1
"19821409",2,4,1,2
"19821410",2,3,3,4
"19821411",2,4,3,4
"19821412",1,4,2,2
"19821413",1,4,4,1
"19821414",2,3,3,1
"19821415",2,4,3,4
"19821416",2,4,1,3
"19821417",8,4,4,4
"19821418",2,4,1,1
"19821419",2,2,2,3
"19821420",2,4,3,1
"19821421",1,4,4,4
"19821422",2,4,2,3
"19821423",2,4,2,3
"19821424",8,2,3,3
"19821425",1,4,4,4
"19821426",2,4,1,1
"19821427",2,3,2,4
"19821428",8,3,2,3
"19821429",2,4,2,1
"19821430",2,4,3,4
"19821431",2,4,3,1
"19821432",2,3,3,2
"19821433",2,4,2,3
"19821434",1,4,2,2
"19821435",2,4,4,3
"19821436",2,4,4,3
"19821437",2,3,3,1
"19821438",1,2,3,2
"19821439",2,2,2,3
"19821440",2,4,3,4
"19821441",2,4,2,3
"19821442",2,4,1,1
"19821443",1,4,3,3
"19821444",2,4,1,2
"19821445",2,3,2,2
"19821446",1,3,3,2
"19821447",2,3,2,2
"19821448",1,3,2,1
"19821449",1,3,2,2
"19821450",8,3,2,2
"19821451",2,3,3,2
"19821452",1,4,3,2
"19821453",1,3,2,2
"19821454",2,3,2,3
"19821455",2,4,3,3
"19821456",1,2,3,3
"19821457",2,2,3,4
"19821458",2,4,2,4
"19821459",2,4,3,4
"19821460",2,4,2,3
"19821461",2,8,3,3
"19821462",2,4,2,3
"19821463",2,4,1,4
"19821464",2,4,2,2
"19821465",2,4,4,4
"19821466",8,8,4,4
"19821467",2,4,3,4
"19821468",2,4,2,4
"19821469",2,4,3,3
"19821470",1,4,2,2
"19821471",2,8,2,3
"19821472",1,4,2,1
"19821473",2,2,2,2
"19821474",8,4,2,2
"19821475",2,4,4,4
"19821476",1,2,3,1
"19821477",1,4,3,1
"19821478",2,4,2,1
"19821479",2,1,2,1
"19821480",2,4,2,4
"19821481",2,4,1,1
"19821482",2,4,2,1
"19821483",2,4,3,1
"19821484",1,3,3,3
"19821485",2,4,3,1
"19821486",2,4,2,1
"19821487",2,4,3,1
"19821488",2,4,1,1
"19821489",1,9,9,9
"19821490",2,4,1,1
"19821491",2,4,3,1
"19821492",2,4,2,1
"19821493",8,2,2,2
"19821494",2,3,2,3
"19821495",2,4,1,1
"19821496",2,4,3,1
"19821497",2,2,3,2
"19821498",2,4,4,1
"19821499",2,4,3,1
"19821500",2,4,1,1
"19821501",2,4,2,1
"19821502",2,4,4,1
"19821503",2,1,2,1
"19821504",2,4,2,1
"19821505",1,4,3,1
"19821506",1,4,4,1
"19822001",8,3,2,3
"19822002",2,4,3,4
"19822003",2,4,2,3
"19822004",2,3,3,4
"19822005",2,1,2,4
"19822006",2,3,2,4
"19822007",2,3,3,2
"19822008",2,4,2,4
"19822009",1,2,4,4
"19822010",1,4,2,3
"19822011",1,4,1,1
"19822012",1,3,3,3
"19822013",2,3,2,3
"19822014",2,2,2,4
"19822015",2,4,1,3
"19822016",1,3,3,3
"19822017",2,3,2,3
"19822018",2,4,2,3
"19822019",2,4,3,3
"19822020",1,3,3,3
"19822021",1,2,3,4
"19822022",2,4,2,2
"19822023",2,3,2,3
"19822024",9,4,4,3
"19822025",2,4,4,4
"19822026",2,4,4,4
"19822027",2,4,2,2
"19822028",1,2,4,3
"19822029",2,4,4,4
"19822030",2,4,1,2
"19822031",1,2,2,2
"19822032",2,4,2,4
"19822033",1,8,2,4
"19822034",2,4,4,3
"19822035",2,4,3,4
"19822036",2,3,4,4
"19822037",8,4,4,4
"19822038",2,4,4,8
"19822039",2,2,2,4
"19822040",2,4,2,3
"19822041",2,4,4,4
"19822042",2,4,2,2
"19822043",2,3,3,4
"19822044",2,3,1,3
"19822045",2,3,2,3
"19822046",2,4,4,4
"19822047",2,1,4,4
"19822048",2,3,2,3
"19822049",2,4,4,4
"19822050",2,1,4,4
"19822051",2,4,3,2
"19822052",1,9,2,4
"19822053",8,4,2,3
"19822054",2,4,4,4
"19822055",8,3,2,4
"19822056",1,4,3,3
"19822057",2,4,4,1
"19822058",2,4,3,4
"19822059",8,2,3,4
"19822060",2,3,3,4
"19822061",1,3,3,4
"19822062",2,3,4,4
"19822063",1,1,4,4
"19822064",2,4,2,3
"19822065",2,4,4,4
"19822066",1,2,2,2
"19822067",2,4,2,1
"19822068",1,3,2,1
"19822069",8,8,8,8
"19822070",1,3,2,3
"19822071",1,4,2,3
"19822072",2,4,4,4
"19822073",1,4,2,2
"19822074",1,4,1,2
"19822075",1,3,3,1
"19822076",1,3,3,4
"19822077",9,4,2,3
"19822078",2,3,4,4
"19822079",2,3,2,3
"19822080",1,2,2,2
"19822081",1,2,3,4
"19822082",1,2,2,3
"19822083",2,3,4,3
"19822084",2,3,3,1
"19822085",1,4,4,3
"19822086",2,3,3,2
"19822087",2,4,3,2
"19822088",2,4,1,1
"19822089",2,3,2,1
"19822090",1,2,4,3
"19822091",2,2,3,3
"19822092",2,4,3,3
"19822093",1,4,3,2
"19822094",2,2,2,3
"19822095",2,3,2,3
"19822096",1,4,2,3
"19822097",1,3,2,3
"19822098",1,3,2,1
"19822099",2,2,3,4
"19822100",1,3,2,3
"19822101",2,3,2,1
"19822102",2,4,2,1
"19822103",2,4,2,1
"19822104",2,4,3,4
"19822105",2,8,3,3
"19822106",8,2,4,4
"19822107",2,4,4,1
"19823001",2,4,3,4
"19823002",2,8,4,4
"19823003",2,3,4,3
"19823004",2,4,2,2
"19823005",2,1,2,1
"19823006",2,4,3,4
"19823007",2,4,4,4
"19823008",2,4,4,4
"19823009",1,2,1,4
"19823010",2,4,4,4
"19823011",2,4,4,3
"19823012",2,4,4,4
"19823013",1,3,4,4
"19823014",2,4,4,4
"19823015",2,3,4,4
"19823016",2,3,3,4
"19823017",2,4,2,3
"19823018",2,4,2,4
"19823019",2,4,4,4
"19823020",2,3,4,3
"19823021",9,4,8,3
"19823022",1,4,4,4
"19823023",1,1,3,4
"19823024",2,3,2,4
"19823025",2,4,4,4
"19823026",2,3,4,3
"19823027",1,4,2,3
"19823028",2,4,4,4
"19823029",2,4,3,4
"19823030",2,3,3,3
"19823031",2,2,2,2
"19823032",2,3,2,3
"19823033",2,3,4,3
"19823034",1,4,1,1
"19823035",8,3,4,3
"19823036",2,3,2,2
"19823037",2,3,4,4
"19823038",2,3,4,3
"19823039",2,3,2,2
"19823040",2,4,4,4
"19823041",2,3,3,4
"19823042",2,3,3,3
"19823043",2,4,2,3
"19823044",2,3,2,3
"19823045",2,2,2,2
"19823046",2,3,3,4
"19823047",2,4,1,3
"19823048",2,2,2,3
"19823049",2,3,2,4
"19823050",1,3,2,4
"19823051",2,4,2,3
"19823052",1,4,2,3
"19823053",2,3,3,3
"19823054",2,4,2,3
"19823055",1,3,2,3
"19823056",2,4,2,3
"19823057",2,4,1,2
"19823058",2,4,1,2
"19823059",2,4,2,3
"19823060",2,4,2,2
"19823061",1,3,3,4
"19823062",2,4,2,3
"19823063",1,4,3,2
"19823064",8,3,4,9
"19823065",1,4,2,4
"19823066",9,9,9,9
"19823067",2,4,2,2
"19823068",8,8,8,8
"19823069",8,8,8,8
"19823070",1,3,2,3
"19823071",2,4,3,4
"19823072",1,4,2,3
"19823073",2,4,3,3
"19823074",2,3,3,4
"19823075",1,4,2,3
"19823076",2,4,2,1
"19823077",2,4,2,2
"19823078",2,2,2,4
"19823079",1,4,2,1
"19823080",2,4,2,1
"19823081",1,4,3,1
"19823082",8,4,3,4
"19823083",1,3,3,2
"19823084",2,4,4,1
"19823085",2,2,3,4
"19823086",2,2,3,4
"19823087",2,2,3,3
"19823088",2,2,3,3
"19823089",1,4,2,3
"19823090",2,4,2,4
"19823091",1,4,2,1
"19823092",2,2,2,4
"19823093",2,4,1,2
"19823094",2,4,3,1
"19823095",2,3,4,4
"19823096",2,4,3,3
"19823097",2,2,2,1
"19823098",2,3,4,3
"19823099",2,4,4,4
"19823100",2,3,2,1
"19823101",2,3,2,1
"19823102",2,4,1,3
"19823103",2,4,3,3
"19823104",1,4,2,3
"19823105",2,4,1,1
"19823106",2,3,2,3
"19823107",2,4,2,3
"19823108",1,4,4,4
"19823109",2,4,3,3
"19823110",2,1,3,4
"19823111",2,3,4,4
"19823112",2,4,2,2
"19823113",2,3,2,3
"19823114",2,4,2,3
"19823115",2,4,2,2
"19823116",2,4,4,4
"19823117",2,4,2,2
"19823118",8,4,3,4
"19823119",1,4,3,4
"19823120",2,3,3,3
"19823121",2,3,3,4
"19823122",2,4,3,3
"19823123",2,3,2,3
"19823124",1,4,3,3
"19823125",1,8,3,4
"19823126",2,4,4,4
"19823127",8,3,3,3
"19823128",2,3,3,3
"19823129",2,8,4,4
"19823130",2,1,2,2
"19823131",2,1,3,4
"19823132",2,4,3,4
"19823133",2,8,4,4
"19823134",2,8,8,8
"19823135",2,8,4,4
"19823136",1,4,2,4
"19823137",2,8,4,4
"19823138",2,8,4,4
"19823139",8,8,8,4
"19823140",2,4,3,1
"19823141",2,4,2,1
"19823142",2,2,1,2
"19823143",2,4,4,4
"19823144",2,2,3,3
"19823145",1,3,3,3
"19823146",2,4,4,3
"19823147",2,3,1,3
"19823148",8,3,2,4
"19823149",2,3,4,2
"19823150",2,8,4,3
"19823151",2,8,8,4
"19823152",2,8,4,4
"19823153",2,8,8,4
"19823154",2,4,4,3
"19823155",8,3,2,3
"19823156",2,1,2,3
"19823157",1,4,2,4
"19823158",8,8,4,4
"19823159",8,4,2,4
"19823160",8,4,2,3
"19823161",1,4,2,4
"19823162",2,2,2,3
"19823163",2,4,2,3
"19823164",8,4,3,4
"19823165",2,4,2,3
"19823166",2,4,3,3
"19823167",1,2,2,4
"19823168",8,2,2,3
"19823169",2,4,3,4
"19823170",2,4,4,4
"19823171",1,2,1,3
"19823172",8,2,2,3
"19823173",1,4,4,3
"19823174",8,4,3,3
"19823175",2,3,3,2
"19823176",1,3,3,1
"19823177",2,3,3,3
"19823178",2,3,2,3
"19823179",2,1,2,3
"19823180",2,4,4,1
"19823181",1,4,1,4
"19823182",1,4,3,3
"19823183",2,4,4,4
"19823184",2,4,2,4
"19823185",2,4,4,4
"19823186",1,3,3,3
"19823187",2,4,3,4
"19823188",2,4,3,2
"19823189",2,4,2,2
"19823190",2,4,1,4
"19823191",2,4,4,4
"19823192",2,4,3,2
"19823193",2,4,4,2
"19823194",2,4,2,1
"19823195",2,4,1,2
"19823196",2,4,1,1
"19823197",2,2,3,3
"19823198",2,2,2,3
"19823199",2,2,2,3
"19823200",2,4,1,2
"19823201",2,4,3,3
"19823202",2,3,4,4
"19823203",1,4,2,2
"19823204",1,3,2,3
"19823205",1,4,3,3
"19823206",2,3,2,3
"19823207",8,8,8,4
"19823208",1,4,3,2
"19823209",1,4,2,2
"19823210",2,4,2,3
"19823211",2,9,9,9
"19823212",2,4,2,3
"19823213",2,4,3,4
"19823214",2,4,2,4
"19823215",1,2,3,4
"19823216",2,4,2,3
"19823217",2,4,3,3
"19823218",2,4,3,2
"19823219",1,4,2,2
"19823220",1,3,2,3
"19823221",1,4,2,2
"19823222",1,4,1,1
"19823223",2,4,2,2
"19823224",2,4,1,4
"19823225",1,4,1,2
"19823226",1,4,3,1
"19823227",2,4,2,3
"19823228",1,2,2,4
"19823229",1,3,2,3
"19823230",2,4,1,4
"19823231",2,1,2,4
"19823232",1,1,4,1
"19823233",1,2,2,3
"19823234",2,4,2,4
"19823235",2,3,4,2
"19823236",1,1,3,4
"19823237",2,3,2,4
"19823238",2,4,3,1
"19823239",2,4,1,1
"19823240",2,4,4,3
"19823241",2,4,2,3
"19823242",1,4,4,2
"19823243",2,4,1,1
"19823244",1,2,1,3
"19823245",2,4,3,2
"19823246",2,2,2,2
"19823247",8,4,3,4
